The flu season is winding down, and it has killed 105 children so far - about the average toll.	{"entities": [[0, 14, "TEMP_EXP"]]}
In the 90 years since Rebecca Felton of Georgia became the first woman in the United States Senate - sworn in for a mere 24 hours - women remain an anomaly in the upper chamber. But with 20 female senators now in office, an all-time high, women have morphed from the curiosity they were for much of the 20th century into an important new force on key committees and legislation.	{"entities": [[0, 98, "TEMP_EXP"], [110, 129, "TEMP_EXP"], [206, 209, "TEMP_EXP"], [303, 315, "TEMP_EXP"]]}
A record nine women now lead committees, including some of the most powerful ones. For the first time there is a woman - Senator Barbara A. Mikulski, a Maryland Democrat - in charge of the Senate Appropriations Committee, which dispenses billions of dollars annually throughout the government and has long been particularly dominated by men. Senator Patty Murray, a Washington Democrat, is the first chairwoman of the Budget Committee and is charged with shaping the Democratic strategy in the fiscal battle dominating Capitol Hill.	{"entities": []}
One of the biggest bills to pass the Senate last year was farm legislation led by Senator Debbie Stabenow, a Michigan Democrat who presides over the agriculture committee. Senator Barbara Boxer, the California Democrat who is chairwoman of the Environment and Public Works Committee, shepherded the highway bill.	{"entities": [[44, 53, "TEMP_EXP"]]}
"We are growing in number," said Senator Amy Klobuchar, Democrat of Minnesota. "But more importantly, we are growing in our power. When I first started just six years ago, it was unusual to have a woman managing a bill."	{"entities": [[157, 170, "TEMP_EXP"]]}
Just as important, even male senators say, is the potential the women hold for changing the tenor of the Senate and pushing for compromise in the highly partisan atmosphere on Capitol Hill.	{"entities": []}
"I don't want to generalize, because this isn't true of all of them, but they tend to be interested in finding common ground," said Senator Rob Portman, Republican of Ohio. "So I think it's going to have, and is having, a positive impact on the Senate."	{"entities": []}
While partisan division is the central characteristic of the modern Congress, women have begun to crack away at the gridlock by forming coalitions that have surprised leaders of both parties. Senator Kirsten E. Gillibrand, Democrat of New York, and Senator Susan Collins, Republican of Maine, led the repeal in the Senate of "don't ask, don't tell" in 2010, allowing gay men and women to serve openly in the military.	{"entities": [[349, 356, "TEMP_EXP"]]}
This year, all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act, which had lapsed during the last Congress.	{"entities": [[0, 9, "TEMP_EXP"]]}
Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code.	{"entities": [[0, 15, "TEMP_EXP"]]}
But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between all at the same time.	{"entities": []}
It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers.	{"entities": []}
Now, Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business.	{"entities": [[0, 3, "TEMP_EXP"], [111, 124, "TEMP_EXP"]]}
Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation.	{"entities": []}
But if it performs as Lockheed and D-Wave expect, the design could be used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today.	{"entities": [[207, 212, "TEMP_EXP"]]}
Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion something that can now take weeks, if ever, to determine.	{"entities": [[365, 368, "TEMP_EXP"]]}
Ms. Atimadi says that is the primary focus of her group, peace and justice. She says her group is appealing to individuals, to the international community, and to the combatants and people of Afghanistan to stop the bloodletting which has torn the country apart. Lisa Schlein for VOA News, Geneva.	{"entities": []}
In a bit of television diplomacy, Iraq's deputy foreign minister responded from Baghdad in less than one hour, saying Washington would break international law by attacking without UN approval.	{"entities": [[88, 109, "TEMP_EXP"]]}
Chanting Helmut Kohl must go the unemployed took to the streets of the German capital, Berlin, mirroring protests around the country. Joblessness is now at its highest level in Germany since the second world war. With the general election due this September, record figures couldn't have come at a worst time for Chancellor Kohl. His promise to half unemployment by the year two thousand has now been abandoned. And the German electorate appears increasingly eager to dispense with the services of Europe's longest serving leader. Caroline Wyatt, BBC news, Bonn.	{"entities": [[149, 152, "TEMP_EXP"], [243, 257, "TEMP_EXP"], [363, 387, "TEMP_EXP"]]}
ROGERS COMMUNICATIONS Inc. said it plans to raise 175 million to 180 million Canadian dollars (US$148.9 million to $153.3 million) through a private placement of perpetual preferred shares. Perpetual preferred shares aren't retractable by the holders, the company said. Rogers said the shares will be convertible into Class B shares, but that the company has the option to redeem the shares before a conversion takes place. A spokesman for the Toronto cable television and telecommunications concern said the coupon rate hasn't yet been fixed, but will probably be set at around 8%. He declined to discuss other terms of the issue.	{"entities": []}
The Saudi Arabian government has an atrocious record on human rights and is known to be one of the worst offending countries when it comes to religious persecution.	{"entities": []}
For The World, this is Pamela McCall in the BBC news room in London. More heavy gunfire in the Serbian province of Kosovo. It's the second day of an offensive by the security forces against villages populated by ethnic Albanians. BBC correspondent Karyn Coleman reports from Kosovo.	{"entities": [[123, 229, "TEMP_EXP"]]}
BONN, Germany (AP)_ A phony address listed on disclosure forms for a French donor will cost the far-right German People's Union about 549,000 marks (dlrs 305,000), parliament said Friday. Parliamentary president Rita Suessmuth said the People's Union correctly listed Jacques de Mathan as having donated about 274,500 marks in 1995, but gave a false address for him. German law requires parties to publish the name and address of anyone who donates more than 20,000 marks (dlrs 11,000). The anti-foreigner party said it wanted to protect the donor from possible attacks. Suessmuth said, however, that the law does not allow for providing a false address for any reason. The fine is twice the donation, as provided for under German party financing laws. Party spokesman Bernd Droese said the People's Union would challenge the fine in court. The extremist party recently took a surprising 13 percent of the vote in elections in a depressed eastern German state, and hopes to win its first seats in the federal parliament this September. UR (pfg-xx)	{"entities": [[180, 187, "TEMP_EXP"], [324, 331, "TEMP_EXP"]]}
That's correct.	{"entities": []}
The entire world will see images of the Pope in Cuba. They'll see images of the Pope with Fidel Castro. It will give the rest of the world the view that Cuba is like any other nation, something the US has, of course, tried to persuade the world that it is not.	{"entities": []}
WASHINGTON _ Following are statements made Friday and Thursday by Lawrence Wechsler, a lawyer for the White House secretary, Betty Currie; the White House; White House spokesman Mike McCurry, and President Clinton in response to an article in The New York Times on Friday about her statements regarding a meeting with the president: Wechsler on Thursday ``Without commenting on the allegations raised in this article, to the extent that there is any implication or suggestion that Mrs. Currie was aware of any legal or ethical impropriety by anyone, that implication or suggestion is entirely inaccurate.'' White House on Thursday ``For the past few weeks we've been subjected to false leaks designed to mislead both reporters and the American public. We're not going to dignify the latest false leak with a response.'' McCurry on Friday ``I want to be absolutely clear, to the extent there is any implication or the slightest suggestion that Mrs. Currie believes that the President or anyone else tried to influence her recollection, that is absolutely false and a mischaracterization of the facts. I am shocked and dismayed by the numerous leaks regarding Mrs. Currie's grand jury testimony.'' Clinton on Friday. ``Once again, I never asked anybody to do anything but tell the truth. I know about the stories today. I was pleased that Ms. Currie's lawyers stated unambiguously this morning _ unambiguously _ that she's not aware of any unethical conduct.	{"entities": [[43, 49, "TEMP_EXP"], [54, 62, "TEMP_EXP"], [262, 271, "TEMP_EXP"], [342, 353, "TEMP_EXP"], [619, 630, "TEMP_EXP"], [631, 655, "TEMP_EXP"], [828, 837, "TEMP_EXP"], [1204, 1214, "TEMP_EXP"], [1311, 1317, "TEMP_EXP"], [1379, 1391, "TEMP_EXP"]]}
An intense manhunt conducted by the FBI and the bureau of alcohol, tobacco and firearms continues for Rudolph in the wilderness of western north Carolina. And this week, FBI director Louie Freeh assigned more agents to the search.	{"entities": []}
ADDIS ABABA, Ethiopia (AP)_ The Organization of African Unity said Friday it would investigate the Hutu-organized genocide of more than 500,000 minority Tutsis in Rwanda nearly four years ago. Foreign ministers of member-states meeting in the Ethiopian capital agreed to set up a seven-member panel to investigate who shot down Rwandan President Juvenal Habyarimana's plane on April 6, 1994. The assassination touched off a murderous rampage by Hutu security forces and civilians, who slaughtered mainly Tutsis but also Hutus who favored reconciliation with the minority. It also reignited the civil war. The panel also will look at the exodus of about 2 million Rwanda Hutus to neighboring countries where they lived in U.N.-run refugee camps for 2 1/2 years. The investigation will consider the role of ``internal and external forces prior to the genocide and subsequently, and the role of the United Nations and its agencies and the OAU before, during and after the genocide,'' the OAU said. The panel will be based in Addis Ababa, and will finish its investigation within a year, it said. It is to be funded by voluntary contributions from within and outside the continent. (aa-kjd)	{"entities": [[67, 73, "TEMP_EXP"], [170, 192, "TEMP_EXP"], [377, 391, "TEMP_EXP"], [748, 760, "TEMP_EXP"]]}
Once Colonel Collins was picked as a NASA astronaut, she followed a normal progression within NASA. Nobody hurried her up. No one held her back.	{"entities": []}
Loudon county officials say they'll rule on the application based only on land use issues and ignore all the other objections. What's really behind those objections, some say, is Loudon county's collision with a new reality in America that the country is changing religiously as surely as it is racially and ethnically. According to the Arab American institute, Islam will one day be the second largest religion in the country. For an indication of the problems that could face Muslims as they integrate into American life, one need look no farther than Loudon county, Virginia. For The World, I'm Nancy Marshalll.	{"entities": []}
The controller at Boston center tries to raise TWA eight hundred.	{"entities": []}
And law enforcement sources say they can't ignore letters penned under the name army of god. Army of god is a secret organization that hates abortion providers, homosexuals and the US government.	{"entities": []}
At a public hearing on the Islamic Saudi Academy's application, the split in county opinion was obvious, supporters of the academy, including Ann Robinson, said the Saudis were just providing a service and it was unfair to penalize children.	{"entities": []}
Yesterday New York governor George Pataki toured five counties that have been declared under a state of emergency. He added one more today.	{"entities": [[0, 9, "TEMP_EXP"], [133, 138, "TEMP_EXP"]]}
Israeli Prime Minister Benjamin Netanyahu says considerable gaps remain between Israeli and Palestinian positions before next week's talks in London. He and Palestinian leader Yasser Arafat meet separately Monday with US Secretary of State Madeleine Albright. At a news conference with US Vice President Al Gore in Jerusalem, Mr. Netanyahu suggested Israel might be willing to move a little on issues holding up peace, but he said he expects an equal effort from the Palestinians.	{"entities": [[114, 130, "TEMP_EXP"], [206, 212, "TEMP_EXP"]]}
A powerful ice storm continues to maintain its grip.	{"entities": []}
"Timex had requested duty-free treatment for many types of watches, covered by 58 different U.S. tariff classifications. The White House said Mr. Bush decided to grant duty-free status for 18 categories, but turned down such treatment for other types of watches because of the potential for material injury to watch producers located in the U.S. and the Virgin Islands.	{"entities": []}
Under the offer, shareholders will receive one right for each 105 common shares owned. Each right entitles the shareholder to buy $100 face amount of 13.5% bonds due 1993 and warrants to buy 23.5 common shares at 30 cents a share. The rights, which expire Nov. 21, can be exercised for $100 each.	{"entities": [[166, 170, "TEMP_EXP"], [256, 263, "TEMP_EXP"]]}
There were more accounts of people fleeing from the villages near where the offensive was taking place. They were too afraid to stay, fearing the forces may also move their operations further afield. By mid afternoon, official Serb sources were saying the operation was over, but that has not yet been confirmed from Belgrade, the capital of Serbia, which is where the whole attack is thought to have been planned. The ethnic Albanians here in Kosovo are considerably worried about the future and fear they are witnessing the beginnings of a much wider conflict. Karyn Coleman, BBC news, Pristina.	{"entities": [[200, 216, "TEMP_EXP"]]}
Montedison currently owns about 72% of Erbamont's common shares outstanding.	{"entities": []}
"Even as Saddam Hussein was searching for a ploy to ease his isolation, though, the international pressure against him clicked up another notch. The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods. Secretary of State James Baker, speaking on ABC News' This Week, said the Kuwaiti request gives the U.S. and other countries a legal basis for stopping the export of oil and that sort of thing. The U.S. maintains that under the U.N. charter, the Kuwaiti request triggers steps for the collective enforcement of international sanctions. Mr. Baker declined to use the word blockade, but said that interdiction of Iraqi shipments would begin  almost instantly. In a statement, the White House said it would do whatever is necessary to ensure compliance with the sanctions. Other Bush administration officials said that the international naval force in the area -- consisting of American, British, French, Canadian, Soviet, German and Australian ships -- may be used both to stop oil exports from leaving Iraq and Kuwait and to stop shipments of food and other goods from going in. President Bush implied as much yesterday when reporters asked whether the interdiction would apply to food. The president responded, Everything, everything. While shying away from actually using the word blockade, Mr. Bush acknowledged that the U.S. and others were trying to block shipping to Iraq. No point getting into all these semantics, he said. The main thing is to stop the oil from coming out of there. The naval interdiction force is part of an overall American strategy that officials say is designed to leave the Iraqi leader with only the stark choice of backing out of Kuwait or launching new attacks to change his situation. Though they insist they aren't trying to lure Saddam Hussein into an attack, officials hope that if he strikes again, the U.S. and its allies will have such an impressive force in place in Saudi Arabia that they will be able to crush him in retaliation. Iraq's first option, of course, may be simply to sit tight and hope it can endure a trade embargo longer than the West can live without Iraqi and Kuwaiti oil. Speaking on the ABC program, Abdul Amir al-Anbari, Iraq's ambassador to the U.N., asserted that an embargo on Iraq could plunge the U.S. into a depression and the rest of the world into an economic crisis. Iraq clearly is trying to woo back more Arab support in case the conflict drags on, hoping that its neighbors eventually will help it survive a prolonged war of economic attrition with the West. So Saddam Hussein on Friday tried to scare other Arab leaders into supporting him by calling on Arabs to rise up in a holy war against leaders who invited American and other Western soldiers into Saudi Arabia to protect the oil-rich kingdom. Then yesterday, he tried to entice Arab leaders with his proposal for a diplomatic solution linking his occupation of Kuwait with Israel's occupation of the West Bank. The proposal also called for replacing American and other Western troops in Saudi Arabia with Arab forces. The Bush administration immediately said it categorically  rejects the proposals. And President Bush yesterday, asked whether he was at least glad Iraq is discussing negotiations, replied: I don't see anything to be pleasing in there at all. American strategists are calculating, though, that the trade sanctions -- enforced by an effective though perhaps undeclared naval blockade -- will hold tightly enough to convince Iraq that it will lose in the long run by simply standing pat. At that point, rather than go through the humiliation of backing out of Kuwait, the Iraqis might well conclude that they need to lash out in some way to shake things up. In that event, Saddam Hussein appears to have three choices. The first would be to launch the much-feared direct invasion of Saudi Arabia, hoping to seize some Saudi oil fields and improve his bargaining position. But that option is growing less and less likely as thousands of American, British, Egyptian, Syrian and Moroccan forces assemble in and around Saudi Arabia to protect the kingdom. The Saudis even have in their possession 48 Kuwaiti jet fighters, virtually the entire Kuwaiti air force, which managed to escape the Iraqi invasion, Saudi officials said. The Saudi window of vulnerability... is closing very fast, Prince Bandar bin Sultan, the Saudi ambassador to Washington, said over the weekend. The second possibility would be to start a fight with Israel, in hopes that all Arabs would have to move behind Iraq in a fight against their common Israeli enemy. In such an event, Saddam Hussein also might calculate, the Saudis would be under pressure to kick out U.S. troops because of America's close ties with Israel. Iraq could start hostilities with Israel either through a direct attack or by attacking Jordan. Israel has publicly declared that it will respond to an Iraqi attack on Jordan because it won't allow Iraq's dangerous army to take control of Jordan's long border with Israel. Iraq's third attack option would be to start an undeclared war on the U.S. and other Western nations through terrorism. Two Middle East terrorists with records of successful attacks against Western targets, Abu Nidal and Abu Abbas, have ties to Baghdad. And even terrorist groups that opposed Iraq in its war with Iran show signs of swinging behind Saddam Hussein now that he is in a confrontation with the U.S. And Iraq still has thousands of Americans and other Westerners under its control in Iraq and Kuwait. They aren't being allowed to leave and could become hostages. If Iraq chooses a simple war of nerves and economic attrition, the Bush administration knows a long stalemate could try the patience of the American public and the West in general, and could open the possibility that moderate Arabs -- even including Saudi Arabia -- might drop out of the effort against Iraq and accept some deal from Saddam Hussein. But U.S. officials have sized up Saddam Hussein as a man who, despite some recklessness, will back down if he must. This is a guy who is impulsive, and therefore capable of big miscalculations, says one senior administration official involved in managing the crisis. The official adds, though, that at the same time, we think he is someone who is capable of rational judgments when it comes to power. And when he finds something is unprofitable, then one can see certain accommodations. Thus, administration aides will be trying to calculate whether Saddam Hussein's proposed diplomatic formula for getting out of Kuwait represents the first sign he is searching for a way out or simply is a public relations stunt. There are disagreements among experts about how much pressure will be needed to make Saddam Hussein decide he's up against the wall and whether simple economic pressure will ever be enough. The biggest worry is that if he decides he needs a way out of his predicament but doesn't see a face-saving method, he could lash out in dangerous and unpredictable ways. U.S. officials claim they already see signs Saddam Hussein is getting nervous. In the first days after President Bush announced the dispatching of U.S. troops, they note, the Iraqi leader made several nationwide addresses indirectly -- having them read by a television announcer. That shows he's nervous about pinpointing his location, either because he's afraid we'll find him, or that internal enemies will, says one U.S. official. The unpredictability of Iraq's leader is a principal reason the U.S. is going to such great lengths to build a mammoth force in and around Saudi Arabia. Pentagon officials say the goal is to put 40,000 troops in the region by the end of the month. But the administration isn't putting any upper limit on how high the force could go after that, calculating that it would be a mistake to underestimate and an advantage to keep Saddam Hussein guessing. U.S. commanders in charge of planning for Middle East crises have indicated in the past that they were capable of deploying as many as 300,000 troops. And the U.S. is taking similar steps to ensure that its naval force is adequate to carry out a blockade of Iraq and support a war if necessary. Over the weekend, Pentagon officials confirmed reports that a fourth U.S. aircraft carrier -- the John F. Kennedy -- and its powerful group of support ships could head for the Middle East within a few days. Three other carriers and their escort vessels already are stationed within striking distance of Iraq or are steaming toward the area. But unless the military situation changes drastically, military officials say, the most likely plan will be for the Kennedy to eventually replace the carrier Dwight D. Eisenhower, which has been on patrol since March and was scheduled to return to port before hostilities erupted in Kuwait. --- Andy Pasztor contributed to this article.	{"entities": [[160, 169, "TEMP_EXP"], [464, 473, "TEMP_EXP"], [1328, 1337, "TEMP_EXP"], [3010, 3019, "TEMP_EXP"], [3383, 3392, "TEMP_EXP"], [4633, 4650, "TEMP_EXP"], [7332, 7411, "TEMP_EXP"], [8434, 8450, "TEMP_EXP"], [8622, 8640, "TEMP_EXP"], [8980, 8991, "TEMP_EXP"]]}
BAGHDAD, Iraq (AP)_ An American leader of a U.N. weapons inspection team resumed work in Iraq Friday, nearly two months after his team was effectively blocked. Scott Ritter led his team on a 10-hour tour of three suspected weapons sites classified as ``sensitive'' by the Iraqi authorities, U.N. spokesman Alan Dacey said. ``All sites were inspected to the satisfaction of the inspection team and with full cooperation of Iraqi authorities,'' Dacey said. At least one of the sensitive sites was a barracks of the elite Republican Guard, a well-placed source told The Associated Press. Previously the Iraqis have resisted attempts to inspect such quarters. The U.N. Security Council has charged the inspectors with verifying that Iraq has destroyed its long-range missiles and weapons of mass destruction. It was the first time that Ritter, who arrived Thursday with some 50 inspectors for a tour likely to last over a week, had been allowed to carry out an inspection since Jan. 13. Then the Baghdad government stopped providing Ritter's team with escorts, making it impossible for him to enter any site. Iraq alleged Ritter was an American spy whose team had a disproportionately high number of Americans and Britons. The official Iraqi News Agency, which gives the daily tally of inspections, did not mention Ritter by name, but said Friday that team no. 225 _ which Ritter heads _ made surprise visits to a number of sites and was assisted by aerial surveillance. Five other U.N. inspection teams visited a total of nine other sites, the agency reported. An Iraqi official, speaking on customary condition of anonymity, said Ritter would not try to visit any of the eight presidential sites that Baghdad had placed off-limits to U.N. weapons inspectors. The official said these sites could only be visited by a special team of U.N. monitors and diplomats as laid down by the Feb. 23 accord signed by U.N. Secretary-General Kofi Annan and Iraqi Deputy Prime Minister Tariq Aziz. Ritter's return is seen as something of a test of that agreement, under which Iraq agreed to give inspectors full access to eight of Saddam Hussein's presidential palaces. The United States had moved additional troops and a naval armada into the Gulf and said it would strike Iraq unless it gave the U.N. arms inspectors unfettered access to all potential weapons sites, including Saddam's palaces. Iraq had argued the presidential sites should be off limits as symbols of sovereignty. A Pentagon spokesman said Thursday that the 38,000 U.S. troops in the Gulf will remain until Iraq complies with the U.N. Security Council agreement over weapons inspections. ``We are going to maintain our forces in the region for the foreseeable future,'' said spokesman Kenneth Bacon. The U.N.-Iraq accord was worked out by U.N. Secretary-General Kofi Annan, who appointed a retired Indian diplomat on Thursday as his special representative to Iraq. Prakash Shah, 58, a former Indian ambassador to the United Nations, is part of an effort by Annan to expand contacts with the Iraqi leadership. Palace inspections are not expected to start until the new agreement's procedures are in place. U.N. officials in New York on Friday finished drafting the rules, in consultation with Iraqi diplomats. The procedures are due to go before the Security Council next week. The Security Council has said it will not lift the sweeping sanctions imposed on Iraq after its 1990 invasion of Kuwait until the U.N. inspectors certify that Baghdad has eliminated its weapons of mass destruction.	{"entities": [[113, 119, "TEMP_EXP"], [1400, 1414, "TEMP_EXP"], [2346, 2373, "TEMP_EXP"], [2552, 2563, "TEMP_EXP"], [2838, 2847, "TEMP_EXP"], [2901, 2910, "TEMP_EXP"]]}
The approach of the year two thousand has many of these groups in a kind of millennial frenzy. Uh, uh a- they believe, or at least many of them believe, uh that they are approaching the Battle of Armageddon in which they will be pitted against the uh kind of Satanic forces trying to take over the world.	{"entities": [[16, 37, "TEMP_EXP"]]}
In Washington today, the Federal Aviation Administration released air traffic control tapes from the night the TWA Flight eight hundred went down. There's nothing new on why the plane exploded, but you cannot miss the moment. ABC's Lisa Stark has more.	{"entities": [[14, 19, "TEMP_EXP"]]}
WASHINGTON _ The economy created jobs at a surprisingly robust pace in January, the government reported on Friday, evidence that America's economic stamina has withstood any disruptions caused so far by the financial tumult in Asia. The Bureau of Labor Statistics said the economy added 358,000 jobs last month, far above the 235,000 forecast by economists. It was the third consecutive month that job generation has been exceptionally strong. With growing opportunities for work drawing more people into the labor force, the unemployment rate remained at 4.7 percent last month, just a notch above its quarter-century low. The demand for workers also led employers to raise wages again last month. Average hourly earnings of production and nonsupervisory employees rose 4 cents, to $12.51. The gain left wages 3.8 percent higher than a year earlier, extending a trend that has given back to workers some of the earning power they lost to inflation in the last decade. But economists said the wage increase was not enough to raise any concerns about higher inflation. And because the Federal Reserve has made clear that it expects the economy to slow in coming months as ripple effects from Asia reach the United States, investors disregarded the large jobs gains, betting that neither a rise in interest rates nor resurgent inflation is looming. Stocks rose, pushing the Dow Jones industrial average up 72.24 points, to 8,189.49, leaving the index within 70 points of its record high set on Aug. 6. In the bond market, a sensitive barometer of inflation anxiety, prices edged up, pushing down the yield on the benchmark 30-year Treasury bond to 5.92 percent from 5.93 percent. ``Job creation is sturdy and we have effective price stability,'' said Paul McCulley, an economist at UBS Securities. ``The bottom line is that we've got a lovely economy.'' With potential inflation counterbalanced by worries about possible price declines, the Fed and its chairman, Alan Greenspan, have suggested that they intend to keep interest rates unchanged until the economy tilts clearly in one direction or another. The job figures for January extended a surge in employment gains that began last fall, just when the labor market had showed signs of cooling. After accounting for a small downward revision Friday to December's figures, the economy has been creating jobs at a rate of 358,000 a month for the last four months _ and 381,000 over the last three months _ after averaging 242,000 for the first nine months of 1997. The surge in jobs reflects a remarkable confluence of positive and self-reinforcing economic forces. Inflation has been almost nonexistent, and consumer confidence has been extremely strong. After a short, sharp drop when Asia's financial problems first became clear, the stock market has rebounded and corporate profits have remained healthy. Long-term interest rates, an important indicator of economic stability, have fallen in the last few months. Lower rates have helped invigorate housing and other interest-sensitive sectors of the economy by making loans more affordable, and have allowed companies to continue investing heavily in more efficient equipment. The likelihood that the federal budget will soon move from deficit into surplus has further improved the outlook. The less money the government needs to borrow, the more is freed for private investment. President Clinton welcomed the job figures at a news conference Friday. His advisers said the results reflected not just from balancing the budget, but also initiatives like improved access to education and training and the opening of foreign markets to trade. ``There are enormous economic and social benefits from our nation's high-employment economy,'' said Janet Yellen, the chairwoman of the White House's Council of Economic Advisers. Some of the biggest employment gains came in the construction industry, which added 92,000 jobs in January. The increase reflected the strength of the housing industry, which has been helped not just by declining interest rates but also by unusually warm weather. Service industries also showed solid job gains, as did manufacturers, two areas expected to be hardest hit when the effects of the Asian crisis hit the American economy. The major harm from Asia is likely to come from the plunge in the value of many Asian currencies relative to the dollar, a situation that is expected to lead to a surge of inexpensive imports into the United States, hurting American competitors. And the weakness of the Asian economies is also likely to lead to decreased demand for American exports. ``The economy has been running on the fumes of the strength from before the Asia shock,'' McCulley said. ``Those fumes will exhaust themselves, and the manufacturing sector is going to start getting beat up in the spring.'' The figures showed the unemployment rate for adult men declined to 3.8 percent last month from 4.1 percent in December, the lowest figure for almost two decades. The rate for adult women rose 0.4 percent, to 4.4 percent. For the first time, the Labor Department broke out unemployment by education level as well as gender, age and race. The analysis showed unemployment rates dropped steadily with higher levels of education. Among people with less than a high school education, the rate in January was 7.2 percent. Among high school graduates, the rate was 3.9 percent, and college graduates, 1.9 percent.	{"entities": []}
Not all Cubans believe, but Castro has invited everyone to welcome the man who has been one of Communism's most effective adversaries, and that's why there is suspense.	{"entities": []}
Everyone appears to believe that somehow Cuba is going to change. Castro has said officially that it's okay to be enthusiastic. And so, people are increasingly enthusiastic by today, Cuban television, which clings to the Communist Party line, actually began to promote its papal coverage.	{"entities": [[173, 181, "TEMP_EXP"]]}
Incidentally, we just show up to do the broadcast, and Cubans want to know what we're going to tell Americans, in many cases, what their relatives in the United States are going to hear.	{"entities": []}
Army of god letters claim responsibility for the Atlanta abortion clinic bombing, a nineteen ninety-seven attack on a gay lounge and the Birmingham assault.	{"entities": [[82, 105, "TEMP_EXP"]]}
O'SMACH, Cambodia (AP)_ The top commander of a Cambodian resistance force said Thursday he has sent a team to recover the remains of a British mine removal expert kidnapped and presumed killed by Khmer Rouge guerrillas almost two years ago. Gen. Nhek Bunchhay, a loyalist of ousted Cambodian Prime Minister Prince Norodom Ranariddh, said in an interview with The Associated Press at his hilltop headquarters that he hopes to recover the remains of Christopher Howes within the next two weeks. Howes had been working for the Britain-based Mines Advisory Group when he was abducted with his Cambodian interpreter Houn Hourth in March 1996. There were many conflicting accounts of his fate. Howes' team was clearing mines 17 kilometers (10 miles) from Angkor Wat, the fabled 11th century temple that is Cambodia's main tourist attraction, when it was attacked. In January this year, British police officers who had been searching for Howes concluded he had probably been killed soon after being captured. The Foreign Office said it had informed the family of Howes, 37 years old when he was kidnapped, that he probably died within weeks or months of his capture on March 26, 1996. ``Obviously, it is deeply discouraging for the family after 22 months, but there is no proof of life. But there is no evidence in either direction _ that there is proof of life or death,'' said a Foreign Office spokesman, speaking with customary anonymity. ``We will continue to do everything we can to establish what has happened.'' Thai military officials who monitor Cambodian affairs said privately Thursday that Britain, through its embassies in Thailand and Cambodia, has been pushing hard to resolve the Howes case as the second anniversary of his abduction nears. Nhek Bunchhay, who had been closely involved in the search for Howes before having to flee the Cambodian capital after a coup d'etat last year, appeared confident he would find Howes' remains. He said he received information from Khmer Rouge guerrillas on where the body had been buried, and recently ordered 10 of his men from a force of 500 near Khmer Rouge headquarters in Anlong Veng to conduct the search. If and when the remains are found, he said, they would be turned over to the British Embassy, apparently meaning they would be sent across the border into Thailand and onward to Bangkok. Nhek Bunchhay said he now believed Howes had been killed within a week of his capture by a Khmer Rouge faction loyal to Pol Pot, then the guerrilla group's leader. Pol Pot is considered responsible for the radical policies that led to the deaths of as many as 1.7 million Cambodians when the communist group held power in the late 1970s. At the time Howes was captured, the Khmer Rouge were a more or less united guerrilla force with more than 10,000 men under arms. But the group began to fall apart in mid-1996 after the defection of one of its top leaders, Ieng Sary. Other commanders, and thousands of guerrillas, followed him. A small hardcore group under Pol Pot continued to hold out at their headquarters at Anlong Veng in northern Cambodia near the Thai border. But in June last year, the remaining leadership had a falling out, and Pol Pot was arrested. In July last year in Phnom Penh, Cambodia's capital, Second Prime Minister Hun Sen staged a successful coup d'etat against First Prime Minister Prince Norodom Ranariddh. Ranariddh's loyalists, including Nhek Bunchhay, his top military commander, went into hiding or fled the capital. Nhek Bunchhay, evading an intensive manhunt, made his way to O'Smach, the last major outpost held by Ranariddh's forces. His men have held the stronghold _ which is on the border just opposite the Thai province of Surin _ against repeated intense attacks by Hun Sen's troops. They have been aided by Khmer Rouge guerrillas from Anlong Veng, who have formed an alliance with Ranariddh's resistance forces to oppose Hun Sen.	{"entities": [[79, 87, "TEMP_EXP"], [219, 240, "TEMP_EXP"], [623, 637, "TEMP_EXP"], [772, 784, "TEMP_EXP"], [858, 878, "TEMP_EXP"], [1128, 1177, "TEMP_EXP"], [1232, 1247, "TEMP_EXP"], [1883, 1892, "TEMP_EXP"], [2405, 2475, "TEMP_EXP"], [2670, 2685, "TEMP_EXP"], [2849, 2860, "TEMP_EXP"]]}
